amplitude_median,pseudo_experiments
-0.005493175798129541,1
-0.005186557925672998,0
-0.004879940053216453,0
-0.004573322180759909,0
-0.004266704308303365,3
-0.003960086435846821,2
-0.0036534685633902767,5
-0.0033468506909337327,0
-0.0030402328184771887,4
-0.0027336149460206447,10
-0.0024269970735641003,4
-0.0021203792011075563,13
-0.0018137613286510121,23
-0.001507143456194468,25
-0.001200525583737924,29
-0.0008939077112813799,60
-0.0005872898388248359,60
-0.00028067196636829194,87
2.5945906088252046e-05,109
0.00033256377854479604,153
0.0006391816510013405,173
0.0009457995234578849,248
0.0012524173959144289,324
0.0015590352683709729,405
0.0018656531408275169,511
0.0021722710132840613,656
0.0024788888857406053,805
0.0027855067581971493,977
0.0030921246306536932,1230
0.0033987425031102372,1481
0.0037053603755667812,1795
0.004011978248023325,2059
0.00431859612047987,2399
0.004625213992936414,2866
0.004931831865392958,3247
0.005238449737849502,3720
0.005545067610306046,4461
0.00585168548276259,4875
0.006158303355219134,5493
0.006464921227675678,6065
0.006771539100132222,6849
0.007078156972588767,7452
0.007384774845045311,7913
0.007691392717501855,8554
0.0079980105899584,9146
0.008304628462414943,9676
0.008611246334871486,10081
0.00891786420732803,10584
0.009224482079784576,10732
0.009531099952241119,11073
0.009837717824697662,11087
0.010144335697154207,11121
0.010450953569610752,11163
0.010757571442067295,11085
0.011064189314523838,10510
0.011370807186980383,10446
0.011677425059436928,9904
0.01198404293189347,9438
0.012290660804350016,8821
0.01259727867680656,8305
0.012903896549263104,7638
0.013210514421719647,7086
0.013517132294176191,6396
0.013823750166632736,5788
0.01413036803908928,5104
0.014436985911545824,4515
0.01474360378400237,4036
0.015050221656458912,3567
0.015356839528915455,3028
0.015663457401372,2595
0.015970075273828543,2179
0.01627669314628509,1834
0.016583311018741633,1621
0.016889928891198176,1277
0.017196546763654723,1049
0.017503164636111262,883
0.01780978250856781,668
0.018116400381024356,534
0.018423018253480895,460
0.018729636125937442,335
0.019036253998393985,253
0.019342871870850528,204
0.019649489743307075,152
0.019956107615763618,120
0.02026272548822016,82
0.020569343360676708,68
0.020875961233133247,53
0.021182579105589794,47
0.02148919697804634,31
0.02179581485050288,25
0.022102432722959427,15
0.022409050595415973,10
0.022715668467872513,12
0.02302228634032906,6
0.023328904212785603,3
0.023635522085242146,1
0.023942139957698692,3
0.024248757830155235,1
0.02455537570261178,0
0.024861993575068325,3
